1731067770.592102456: PING 192.168.6.12 (192.168.6.12) 56(84) bytes of data.
1731067886.324332343: 64 bytes from 192.168.6.12: icmp_seq=232 ttl=63 time=2.33 ms
1731067886.825352882: 64 bytes from 192.168.6.12: icmp_seq=233 ttl=63 time=1.95 ms
1731067887.325494695: 64 bytes from 192.168.6.12: icmp_seq=234 ttl=63 time=1.52 ms
1731067887.834077997: 64 bytes from 192.168.6.12: icmp_seq=235 ttl=63 time=9.02 ms
1731067888.327903837: 64 bytes from 192.168.6.12: icmp_seq=236 ttl=63 time=1.79 ms
1731067888.828591421: 64 bytes from 192.168.6.12: icmp_seq=237 ttl=63 time=1.54 ms
1731067889.330773560: 64 bytes from 192.168.6.12: icmp_seq=238 ttl=63 time=2.43 ms
1731067889.830928978: 64 bytes from 192.168.6.12: icmp_seq=239 ttl=63 time=1.69 ms
1731067890.333235271: 64 bytes from 192.168.6.12: icmp_seq=240 ttl=63 time=3.17 ms
1731067890.832832792: 64 bytes from 192.168.6.12: icmp_seq=241 ttl=63 time=1.93 ms
1731067891.334697618: 64 bytes from 192.168.6.12: icmp_seq=242 ttl=63 time=3.13 ms
1731067891.835225108: 64 bytes from 192.168.6.12: icmp_seq=243 ttl=63 time=2.97 ms
1731067892.859188587: 64 bytes from 192.168.6.12: icmp_seq=245 ttl=63 time=2.02 ms
1731067893.363575083: 64 bytes from 192.168.6.12: icmp_seq=246 ttl=63 time=4.80 ms
1731067893.862645671: 64 bytes from 192.168.6.12: icmp_seq=247 ttl=63 time=2.23 ms
1731067894.361408831: 64 bytes from 192.168.6.12: icmp_seq=248 ttl=63 time=1.75 ms
1731067894.863478909: 64 bytes from 192.168.6.12: icmp_seq=249 ttl=63 time=1.48 ms
1731067895.364229964: 64 bytes from 192.168.6.12: icmp_seq=250 ttl=63 time=2.06 ms
1731067895.865219947: 64 bytes from 192.168.6.12: icmp_seq=251 ttl=63 time=1.94 ms
1731067896.365187122: 64 bytes from 192.168.6.12: icmp_seq=252 ttl=63 time=1.55 ms
1731067896.866662448: 64 bytes from 192.168.6.12: icmp_seq=253 ttl=63 time=2.34 ms
1731067897.366815884: 64 bytes from 192.168.6.12: icmp_seq=254 ttl=63 time=1.77 ms
1731067897.870109995: 64 bytes from 192.168.6.12: icmp_seq=255 ttl=63 time=3.10 ms
1731067898.369386066: 64 bytes from 192.168.6.12: icmp_seq=256 ttl=63 time=1.89 ms
1731067898.870041717: 64 bytes from 192.168.6.12: icmp_seq=257 ttl=63 time=1.84 ms
1731067899.372467368: 64 bytes from 192.168.6.12: icmp_seq=258 ttl=63 time=2.47 ms
1731067899.872341505: 64 bytes from 192.168.6.12: icmp_seq=259 ttl=63 time=1.60 ms
1731067900.374604058: 64 bytes from 192.168.6.12: icmp_seq=260 ttl=63 time=2.13 ms
1731067900.874688891: 64 bytes from 192.168.6.12: icmp_seq=261 ttl=63 time=2.48 ms
1731067901.375445539: 64 bytes from 192.168.6.12: icmp_seq=262 ttl=63 time=1.71 ms
1731067901.876795481: 64 bytes from 192.168.6.12: icmp_seq=263 ttl=63 time=2.01 ms
1731067902.377758641: 64 bytes from 192.168.6.12: icmp_seq=264 ttl=63 time=1.97 ms
1731067903.027000985: 64 bytes from 192.168.6.12: icmp_seq=265 ttl=63 time=144 ms
1731067903.386088501: 64 bytes from 192.168.6.12: icmp_seq=266 ttl=63 time=2.60 ms
1731067903.885813990: 64 bytes from 192.168.6.12: icmp_seq=267 ttl=63 time=1.71 ms
1731067904.387496133: 64 bytes from 192.168.6.12: icmp_seq=268 ttl=63 time=2.98 ms
