Time,S1_X,S1_Y,S1_Z
1731070278.62,11251.7570384,11251.7488214,0.0
1731070279.12,11252.3634227,11251.7114176,0.0
1731070279.62,11252.486285,11252.2062734,0.0
1731070280.12,11252.380086,11252.0637408,0.0
1731070280.62,11252.2050676,11252.7525016,0.0
1731070281.12,11252.9274746,11252.4474922,0.0
1731070281.62,11252.7247687,11252.5368678,0.0
1731070282.12,11253.0837212,11253.1691714,0.0
1731070282.62,11253.0950837,11253.3312355,0.0
1731070283.12,11253.3839805,11253.5913171,0.0
1731070283.62,11253.3268229,11253.0721331,0.0
1731070284.12,11253.3182623,11253.3997862,0.0
1731070284.62,11253.9357889,11253.5579782,0.0
1731070285.12,11253.7553339,11254.0838384,0.0
1731070285.62,11253.7331487,11253.6940541,0.0
1731070286.12,11253.9839087,11253.8982556,0.0
1731070286.62,11254.630287,11254.3962437,0.0
1731070287.13,11254.7228477,11254.8455083,0.0
1731070287.62,11254.8651072,11254.8517993,0.0
1731070288.13,11254.8448815,11254.7604526,0.0
1731070288.63,11254.943927,11254.8455743,0.0
1731070289.13,11255.1699149,11255.0114948,0.0
1731070289.63,11254.9022242,11255.5757692,0.0
1731070290.13,11255.2687119,11255.0239072,0.0
1731070290.63,11255.4346998,11255.7425453,0.0
1731070291.13,11255.8530145,11255.6419441,0.0
1731070291.63,11256.0252788,11256.0000834,0.0
1731070292.13,11256.0736955,11255.9233204,0.0
1731070292.63,11255.7661212,11255.962303,0.0
1731070293.13,11256.4449077,11256.096002,0.0
1731070293.63,11256.7780592,11256.6352365,0.0
1731070294.13,11256.3912975,11256.5182738,0.0
1731070294.63,11256.5084391,11256.8133613,0.0
1731070295.13,11256.5140094,11256.7234102,0.0
1731070295.63,11256.9008766,11257.3550371,0.0
1731070296.13,11257.2054533,11257.4337702,0.0
1731070296.63,11257.2343332,11257.2172027,0.0
1731070297.13,11257.7706943,11257.5262881,0.0
1731070297.63,11257.8361527,11257.4914455,0.0
1731070298.13,11257.7692769,11257.9257404,0.0
1731070298.63,11258.108981,11258.1481044,0.0
1731070299.14,11258.2787001,11258.3595324,0.0
1731070299.64,11258.4401103,11257.8805088,0.0
1731070300.14,11258.5853811,11258.2339785,0.0
1731070300.64,11258.4367758,11258.344755,0.0
1731070301.14,11258.9176367,11258.5238234,0.0
1731070301.64,11258.6335672,11258.7020884,0.0
1731070302.14,11259.2204572,11258.9728792,0.0
1731070302.64,11258.9686294,11259.28955,0.0
1731070303.14,11259.3122261,11259.2716705,0.0
1731070303.64,11259.4511787,11259.4471927,0.0
1731070304.14,11259.4425867,11259.2993659,0.0
1731070304.64,11259.412338,11259.8321469,0.0
1731070305.14,11259.7559085,11259.5128761,0.0
1731070305.64,11259.9343138,11260.0209906,0.0
1731070306.14,11260.3009755,11260.3752821,0.0
1731070306.64,11260.0680101,11260.1084772,0.0
