Time,C1S1Bitrate,C1S1Jitter,C1S1Datagrams,C1S1Delay,C1S1Distance,C1F1Bitrate,C1F1Jitter,C1F1Datagrams,C1F1Delay,C1F1Distance,C1F2Bitrate,C1F2Jitter,C1F2Datagrams,C1F2Delay,C1F2Distance,C1F4Bitrate,C1F4Jitter,C1F4Datagrams,C1F4Delay,C1F4Distance
1731068832.81,40.3,0.855,0.0,1.74,7748.998998225556,19.8,0.448,0.0,1.3,4272.68541435009,19.8,0.585,0.0,1.54,4642.346917239167,19.8,0.462,0.0,1.16,4172.373772806074
1731068833.31,39.7,0.806,0.0,2.26,7749.185698243512,19.8,0.601,0.0,3.32,4272.5915916455215,19.9,0.637,0.0,1.7,4642.299599605782,19.9,0.454,0.0,0.961,4172.249238120849
1731068833.81,40.3,0.939,0.0,1.7,7749.681898285272,20.5,0.574,0.0,2.31,4272.49776898713,19.9,0.574,0.031,1.53,4642.252282028627,20.5,0.737,0.0,1.46,4172.124720091671
1731068834.31,39.7,1.102,0.0,1.78,7749.501153906861,19.8,0.507,0.0,0.828,4272.403946374921,19.8,0.57,0.0,2.0,4642.204964507708,19.8,0.544,0.0,0.744,4172.0002187200325
1731068834.81,40.3,1.112,0.0,2.2,7749.306659767762,19.8,0.585,0.0,1.17,4272.310123808897,19.8,0.691,0.0,10.4,4642.157647043022,19.8,0.533,0.0,0.997,4171.875734007425
1731068835.31,39.0,0.838,0.016,2.33,7749.384148884426,19.8,0.792,0.0,1.09,4272.216301289062,19.9,0.713,0.0,2.27,4642.110329634573,19.9,0.676,0.0,3.61,4171.751265955342
1731068835.81,40.3,0.66,0.0,1.72,7749.085477098579,20.5,0.552,0.0,1.34,4272.12247881542,20.5,0.668,0.0,2.57,4642.063012282362,20.5,0.625,0.0,0.818,4171.626814565272
1731068836.31,39.7,0.744,0.0,1.63,7749.270326985625,19.8,0.574,0.0,0.962,4272.02865638797,19.8,0.756,0.0,2.6,4642.015694986391,19.9,0.615,0.0,1.12,4171.502379838708
1731068836.81,40.3,0.933,0.0,6.22,7749.022712459505,19.8,0.669,0.0,0.873,4271.934834006717,19.8,0.968,0.0,1.66,4641.968377746665,19.8,0.701,0.0,1.05,4171.377961777138
1731068837.31,39.7,0.904,0.0,3.81,7749.328860671025,19.9,0.668,0.0,1.02,4271.841011671665,19.8,0.774,0.0,1.75,4641.921060563181,19.9,0.818,0.0,1.14,4171.253560382058
1731068837.81,40.3,1.002,0.0,1.72,7749.064780482548,20.5,0.604,0.0,1.41,4271.747189382818,19.8,0.449,0.0,2.4,4641.873743435942,20.5,0.736,0.0,1.06,4171.129175654957
1731068838.31,39.7,1.14,0.0,2.71,7749.328535427948,19.9,0.763,0.0,0.817,4271.653367140176,20.5,0.46,0.0,2.19,4641.82642636495,19.9,0.525,0.0,0.889,4171.004807597325
